,Unnamed: 0,name,Unnamed: 6,Distance,mass,radius
0,0,Sun,0,46.1,48.0,0.99
1,1,Sirius,1,192.0,19.0,1.63
2,3,Alpha Centauri,3,37.7,79.0,1.09
3,5,Vega,5,236.0,31.0,1.44
4,7,Rigel,7,87.2,54.0,0.98
5,8,Procyon,8,131.0,29.0,1.43
6,9,Betelgeuse,9,31.0,42.0,0.94
7,10,Achernar,10,28.6,42.0,0.94
8,11,Hadar,11,57.0,23.0,1.62
9,12,Altair,12,40.0,12.0,1.3
10,13,Acrux,13,34.0,40.0,0.94
11,15,Antares,15,96.0,29.0,1.43
12,17,Pollux,17,70.0,52.0,0.98
13,18,Fomalhaut,18,51.0,52.0,0.98
14,19,Deneb,19,163.0,20.0,1.62
15,20,Mimosa,20,130.0,20.0,1.61
16,21,Regulus,21,70.0,47.0,0.97
17,25,Gacrux,25,111.0,47.0,0.97
18,26,Bellatrix,26,101.0,15.0,1.53
19,27,Elnath,27,155.0,20.0,1.62
20,28,Miaplacidus,28,152.0,27.0,1.41
21,29,Alnilam,29,35.0,33.0,0.99
22,30,Gamma Velorum,30,53.0,78.0,1.08
23,32,Alioth,32,12.578,80.0,1.27
24,33,Alnitak,33,184.0,65.0,1.9
25,34,Dubhe,34,24.0,65.0,1.9
26,35,Mirfak,35,16.2,80.0,0.97
27,36,Wezen,36,45.0,49.0,0.97
28,37,Sargas,37,47.0,88.0,1.15
29,38,Kaus Australis,38,192.0,23.0,1.66
30,39,Avior,39,59.0,45.0,0.95
31,40,Alkaid,40,80.0,18.0,1.3
32,41,Menkalinan,41,98.0,54.0,0.98
33,42,Atria,42,27.0,73.0,1.04
34,43,Alhena,43,20.9,73.0,1.43
35,44,Peacock,44,88.0,74.0,1.05
36,45,Alsephina[2],45,380.0,55.0,3.78
37,46,Mirzam,46,48.0,102.0,1.27
38,47,Polaris,47,29.8,20.0,1.32
39,49,Scheat,49,18.6,30.0,0.95
40,51,Rasalgethi,51,85.0,80.0,1.09
41,52,Tau Ceti,52,34.0,100.0,1.26
42,53,Delta Pavonis,53,142.0,39.0,1.97
43,54,Ran,54,29.5,48.0,0.97
44,56,Eta Carinae,56,82.0,22.0,1.78
45,57,Delta Cephei,57,42.0,64.0,1.0
46,58,Mu Cephei,58,69.0,1.04,72.0
47,59,Titawin,59,44.0,64.0,1.0
48,60,Rho Cassiopeiae,60,64.0,21.0,1.38
49,61,P Cygni,61,73.0,47.0,0.97
50,62,La Superba,62,40.0,68.0,1.01
51,64,61 Cygni,64,41.62,61.0,1.01
52,66,Polaris Australis,66,34.6,28.0,1.41
53,67,R Coronae Borealis,67,102.0,38.0,1.51
54,70,RW Cephei,70,39.0,56.0,0.99
55,71,Lacaille 8760,71,65.0,67.0,1.01
56,72,V838 Monocerotis,72,51.0,75.0,1.05
57,74,II Pegasi,74,60.0,72.0,1.03
58,75,VY Canis Majoris,75,13.4,26.0,0.98
59,76,Pistol Star,76,29.6,41.0,0.94
60,77,S Doradus,77,25.8,37.0,0.94
61,78,UY Scuti,78,49.0,43.0,0.94
62,80,Luhman 16,80,55.0,71.0,1.03
63,81,Proxima Centauri,81,60.0,2.01,68.0
64,82,KIC 8462852,82,16.1,44.0,0.94
65,85,WR 102,85,35.0,52.0,0.98
66,86,VFTS 352,86,43.0,48.0,0.99
67,87,YBP 1194,87,55.0,88.0,1.15
68,88,Gliese 1214,88,77.0,46.0,0.96
69,89,NML Cygni,89,23.53,62.0,1.0
70,90,VB 10,90,43.0,64.0,1.0
71,91,WOH G64,91,27.6,77.0,1.07
72,92,TRAPPIST-1,92,50.0,50.0,0.98
73,94,WISE 0855−0714,94,20.0,42.0,0.94
74,95,Icarus,95,17.4,32.0,0.95
